,EP_UNEMP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_NOVEH,EP_NOINT,RPL_THEME3,treatment,outcome,embed_idx
1,0.6,13.2,25.4,12.2,4.7,0.7,13.0,2.7,1.7,8.4,0.0444,8.8,10.71639839761553,1
2,1.7,15.8,29.5,16.3,9.3,10.6,50.5,19.6,5.4,5.1,0.4322,16.1,27.16626054383156,2
3,2.5,5.9,24.3,8.4,4.9,1.7,84.3,40.2,1.6,5.8,0.7555,10.3,13.754075994801456,3
4,2.8,10.5,28.9,10.7,6.0,12.9,88.6,2.0,4.6,11.6,0.8048,22.2,23.92737489375276,4
5,9.0,7.1,32.0,6.1,9.6,27.7,93.0,27.4,12.6,20.5,0.8648,39.1,46.30196557560287,5
6,5.5,7.8,29.6,11.3,3.3,2.7,46.7,0.0,4.4,7.8,0.3943,5.7,4.2747961376868915,6
7,10.6,13.5,23.7,7.8,0.0,3.0,63.0,0.0,0.0,14.1,0.5559,12.7,14.130023860103902,7
8,3.7,8.9,24.7,9.4,12.5,6.0,72.8,24.2,2.2,4.1,0.6446,8.5,16.486536410237285,8
9,4.9,7.6,37.3,10.2,15.2,17.4,85.5,8.3,6.3,24.1,0.7681,38.4,45.24970219621383,9
10,13.8,21.0,18.7,23.2,2.5,8.5,80.7,0.6,5.8,20.3,0.7211,33.9,25.319169166884716,10
11,1.5,21.8,25.8,16.2,8.9,0.7,25.6,0.0,0.0,7.0,0.1614,16.5,25.086164793838417,11
12,4.3,14.0,26.8,13.1,13.2,7.6,72.5,20.2,10.6,29.6,0.6421,20.3,35.73932192464429,12
13,5.9,14.4,31.2,17.2,11.3,3.0,81.3,0.0,2.7,17.6,0.7247,23.4,36.3232895904913,13
14,11.3,6.8,28.5,6.2,19.1,15.8,92.2,2.4,1.0,34.4,0.8522,40.0,46.588530696797,14
15,2.8,5.9,24.2,3.4,15.6,2.2,87.0,24.5,5.0,0.0,0.784,4.9,20.787426720937283,15
16,10.2,9.5,28.7,14.4,14.8,23.0,88.0,42.8,11.5,12.8,0.7976,30.4,37.740598444729535,16
17,4.8,21.9,21.8,22.5,3.2,2.8,62.6,2.0,13.6,14.4,0.5515,13.3,15.321173387300645,17
18,0.7,10.6,23.6,5.2,3.8,2.3,28.8,51.3,0.0,0.8,0.1957,4.7,16.98969263428863,18
19,1.5,20.1,24.8,13.0,16.1,0.0,42.1,8.4,4.9,21.1,0.3481,11.3,26.353959470557083,19
20,15.5,13.1,27.7,11.2,10.5,1.3,21.6,1.5,7.4,22.5,0.1202,19.6,34.43545961452308,20
21,8.0,18.4,19.9,29.9,6.1,1.1,54.9,38.5,13.2,15.1,0.4779,18.7,43.43712280871574,21
22,7.7,10.7,28.1,18.8,4.6,5.3,74.5,5.6,13.9,20.6,0.6615,20.1,38.91031688130261,22
23,5.1,18.3,20.7,26.8,3.3,4.0,32.1,0.0,0.0,12.4,0.2313,21.2,39.49442723208542,23
24,2.5,25.2,20.3,16.2,4.5,13.6,85.7,2.1,11.4,29.9,0.7699,24.8,34.07119146349187,24
25,14.4,20.5,28.9,10.4,6.3,0.7,69.1,13.3,11.2,8.7,0.6116,13.1,30.45648293355639,25
26,2.6,10.7,25.8,10.2,2.9,0.7,21.1,0.0,0.0,18.0,0.114,6.3,7.121809437940952,26
27,0.0,10.1,35.0,4.2,19.5,23.9,98.5,0.0,4.7,33.4,0.9622,48.1,29.549084577742104,27
28,2.5,3.5,25.4,6.6,18.0,4.5,54.9,60.3,12.6,1.8,0.4779,6.3,20.652720263053705,28
29,5.9,13.0,31.1,10.1,0.0,2.3,39.4,0.0,0.0,10.5,0.3156,9.6,15.48573310821854,29
30,15.1,16.9,30.2,21.4,17.4,6.9,94.3,22.0,12.1,15.6,0.8833,20.7,42.48972581629464,30
31,10.5,22.7,30.6,27.0,8.9,27.6,94.2,9.0,21.5,22.2,0.8819,37.3,51.29775594893433,31
32,0.7,2.8,43.0,12.1,22.5,27.2,81.2,2.2,2.3,12.1,0.724,48.6,46.42712146164582,32
33,7.3,5.9,35.9,6.7,13.2,7.3,96.4,35.9,2.9,8.4,0.9182,6.4,34.43593232021303,33
34,5.9,12.0,20.1,15.1,6.6,17.2,82.7,8.6,2.0,12.8,0.7377,27.6,26.153752030860197,34
35,1.4,7.3,15.1,13.0,4.1,4.4,48.4,45.2,8.8,2.0,0.4119,8.4,13.20949498305313,36
36,4.2,15.0,28.0,8.6,6.9,3.8,52.5,20.5,2.0,1.6,0.4541,8.8,15.377822876706611,37
37,16.3,12.9,31.5,12.4,12.8,20.9,100.0,0.0,4.0,14.1,0.9892,43.4,43.57806199225282,38
38,3.1,19.8,25.6,13.8,12.0,5.0,23.4,0.0,0.7,2.9,0.1374,21.7,24.784860037654376,39
39,3.0,18.2,21.2,10.2,9.0,1.2,26.6,0.0,0.6,3.4,0.1717,7.0,24.495578951447627,40
40,5.4,6.9,23.5,6.8,15.3,5.4,86.5,65.1,13.4,9.3,0.7792,5.8,24.260334377831455,41
41,2.6,12.5,22.0,11.4,2.4,3.4,60.8,4.5,0.5,9.8,0.5342,20.3,16.460855307522557,42
42,2.9,15.2,29.5,8.9,5.9,9.2,50.9,0.0,0.8,2.9,0.4376,13.3,14.005942353523704,44
43,6.2,8.2,23.7,9.9,12.6,6.3,84.4,19.8,3.3,5.6,0.7567,19.9,34.259816797331965,45
44,4.1,18.5,24.4,18.4,7.2,0.5,18.6,0.0,0.2,5.6,0.0901,7.6,11.679269860724986,46
45,10.6,21.5,21.7,22.3,10.1,0.1,12.0,0.1,8.0,16.6,0.0365,14.8,31.054681781064694,47
46,3.7,8.7,22.6,11.1,5.3,17.8,95.9,10.0,2.0,8.4,0.9086,17.4,25.23084577101039,48
47,6.5,16.2,23.8,23.4,5.2,0.8,39.6,4.1,0.4,22.2,0.3188,17.3,13.617722021699109,49
48,3.6,33.4,14.1,16.7,1.6,3.5,17.5,24.7,6.7,6.3,0.0793,3.1,12.537343174976604,50
49,12.5,9.6,23.8,24.3,12.4,4.3,84.6,22.8,4.5,9.2,0.7596,15.9,28.36871479806859,51
50,10.3,9.9,33.0,8.9,5.8,16.0,91.6,6.4,0.0,24.7,0.8419,41.7,38.07079008547479,52
51,12.6,10.9,22.0,18.5,10.6,8.2,56.0,23.9,18.7,21.8,0.4909,11.7,34.90179567324426,54
52,4.7,5.6,15.8,8.2,1.1,3.5,38.8,50.7,3.4,1.9,0.3067,0.7,29.66499611804955,55
53,2.0,8.9,16.2,7.1,0.9,3.8,46.2,0.9,1.0,14.7,0.389,6.9,10.03738207969323,56
54,4.3,10.3,29.3,9.5,5.3,6.3,40.2,0.0,4.6,6.9,0.3259,12.7,19.64753906355193,57
55,5.0,17.1,25.8,15.3,16.5,11.6,62.8,1.1,7.1,31.1,0.5537,22.1,29.946197239374825,58
