,EP_UNEMP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_NOVEH,EP_NOINT,RPL_THEME3,treatment,outcome
0,4.3,6.6,34.6,12.6,17.1,25.2,88.2,29.9,7.1,19.5,0.8004,True,50.69615056203472
1,9.6,11.2,15.5,12.4,4.7,4.5,64.3,10.6,2.3,7.3,0.5682,True,21.19204075738173
2,4.5,16.0,27.3,8.6,8.4,1.5,27.2,12.8,2.1,4.5,0.1783,False,11.862417949988064
3,3.8,9.3,30.9,9.5,14.8,25.3,96.4,30.1,8.7,14.4,0.9182,True,47.782445340956954
4,6.5,5.2,30.5,8.7,8.0,0.9,71.0,55.0,0.0,12.0,0.6281,False,21.50336500710359
5,3.9,10.2,30.6,14.2,8.2,10.9,54.9,0.0,4.8,42.0,0.4779,True,72.87195007311666
6,3.3,24.4,16.3,10.9,4.0,1.3,23.7,0.6,0.6,1.0,0.1406,False,8.248886135750277
7,2.0,5.7,25.5,6.6,13.6,8.1,68.9,8.0,2.1,9.0,0.6086,True,30.492466147111784
8,3.1,18.3,24.7,14.1,3.9,0.2,10.2,1.8,5.6,20.2,0.0253,False,14.3450206874092
9,3.6,30.0,13.2,17.6,1.5,2.2,12.3,1.1,2.8,23.4,0.0384,False,11.26468837381071
10,1.6,16.7,24.3,14.4,7.4,0.2,21.1,1.9,1.9,9.3,0.114,False,7.439396155828709
11,9.1,5.0,30.4,6.5,11.2,2.1,78.8,0.0,2.8,4.5,0.7006,False,16.29247092255434
12,2.6,26.8,18.8,13.0,2.1,3.7,47.1,0.0,0.0,0.0,0.3976,False,-11.324780734844447
13,3.5,13.5,27.3,8.4,4.4,2.4,41.2,0.0,2.0,6.9,0.337,False,32.19032533390659
14,0.7,19.9,29.5,21.4,6.5,3.5,47.6,3.3,3.6,8.1,0.4036,True,19.50874473529681
15,11.7,19.2,20.8,17.1,9.4,16.0,87.6,12.2,14.6,27.9,0.7903,True,39.27189484527112
16,7.0,11.1,29.5,12.6,15.2,14.3,91.2,1.9,4.2,4.5,0.8367,True,34.180580905484035
17,1.4,18.9,24.3,8.0,4.4,3.0,44.2,0.0,0.9,1.8,0.3693,False,5.307400901104451
18,3.0,15.9,23.7,7.0,9.3,1.1,31.8,20.6,0.4,3.6,0.2272,False,8.82159702971393
19,15.3,26.5,23.9,16.4,7.5,17.7,70.3,4.7,3.6,57.0,0.6225,True,30.993139809134828
20,4.4,5.5,32.7,7.6,11.1,1.6,45.4,7.5,0.9,3.6,0.3823,False,8.09395784196267
21,4.2,2.9,4.2,7.3,3.5,0.9,45.7,97.7,17.9,8.9,0.3843,False,26.638189810049813
22,4.7,10.6,35.7,9.7,7.6,2.6,54.7,0.0,0.0,19.3,0.4755,True,46.542616463301115
23,0.0,36.3,12.0,7.2,2.8,0.2,12.4,17.9,5.9,4.9,0.039,False,4.284864564258212
24,2.7,9.9,26.4,11.1,8.2,7.3,71.1,2.2,10.8,17.6,0.6291,True,26.634489658819476
25,3.9,17.2,24.0,17.6,18.1,4.6,66.9,43.8,6.1,10.2,0.5919,False,24.587903531131207
26,0.4,27.2,16.8,18.9,0.3,0.2,7.6,2.2,3.7,13.7,0.0133,False,9.741134638009648
27,6.6,27.8,15.0,8.8,3.4,0.0,20.3,21.1,0.7,6.4,0.1063,False,18.35980717923713
28,2.2,17.4,17.6,22.9,9.3,4.9,66.2,35.5,17.6,28.1,0.5875,False,21.94469824693953
