FIPS	EP_NOHSDP	EP_AGE17	EP_AGE17_interact	EP_AGE65	EP_AGE65_interact	EP_DISABL	EP_DISABL_interact	EP_LIMENG	EP_LIMENG_interact	EP_MINRTY	EP_MINRTY_interact	EP_MUNIT	EP_MUNIT_interact	EP_NOINT	EP_NOINT_interact	EP_NOVEH	EP_NOVEH_interact	EP_SNGPNT	EP_SNGPNT_interact	EP_UNEMP	EP_UNEMP_interact	RPL_THEME3	RPL_THEME3_interact	EP_POV150_pred	EP_POV150_pred_00	EP_POV150_pred_01	Y_synth	Y_synth_00	Y_synth_01
48453040300	True	34.6	34.6	6.6	6.6	12.6	12.6	25.2	25.2	88.2	88.2	29.9	29.9	19.5	19.5	7.1	7.1	17.1	17.1	4.3	4.3	0.8004	0.8004	48.99421	36.114403	48.99421	50.696150562034724	37.816344043480036	50.696150562034724
48121021202	True	15.5	15.5	11.2	11.2	12.4	12.4	4.5	4.5	64.3	64.3	10.6	10.6	7.3	7.3	2.3	2.3	4.7	4.7	9.6	9.6	0.5682	0.5682	20.337997	17.69287	20.337997	21.19204075738173	18.54691250725966	21.19204075738173
48439110907	False	27.3	0.0	16.0	0.0	8.6	0.0	1.5	0.0	27.2	0.0	12.8	0.0	4.5	0.0	2.1	0.0	8.4	0.0	4.5	0.0	0.1783	0.0	11.10422	11.10422	17.063921	11.862417949988064	11.862417949988064	17.822118534399685
48201452802	True	30.9	30.9	9.3	9.3	9.5	9.5	25.3	25.3	96.4	96.4	30.1	30.1	14.4	14.4	8.7	8.7	14.8	14.8	3.8	3.8	0.9182	0.9182	46.124016	32.21386	46.124016	47.782445340956954	33.872289090956954	47.782445340956954
48201232203	False	30.5	0.0	5.2	0.0	8.7	0.0	0.9	0.0	71.0	0.0	55.0	0.0	12.0	0.0	0.0	0.0	8.0	0.0	6.5	0.0	0.6281	0.0	23.046381	23.046381	29.812294	21.50336500710359	21.50336500710359	28.269278016747144
48161000700	True	30.6	30.6	10.2	10.2	14.2	14.2	10.9	10.9	54.9	54.9	0.0	0.0	42.0	42.0	4.8	4.8	8.2	8.2	3.9	3.9	0.4779	0.4779	39.168736	30.807976	39.168736	72.87195007311666	64.51119033800924	72.87195007311666
48439113626	False	16.3	0.0	24.4	0.0	10.9	0.0	1.3	0.0	23.7	0.0	0.6	0.0	1.0	0.0	0.6	0.0	4.0	0.0	3.3	0.0	0.1406	0.0	6.2380576	6.2380576	10.679185	8.248886135750277	8.248886135750277	12.690013436012729
48491021502	True	25.5	25.5	5.7	5.7	6.6	6.6	8.1	8.1	68.9	68.9	8.0	8.0	9.0	9.0	2.1	2.1	13.6	13.6	2.0	2.0	0.6086	0.6086	24.589022	18.404377	24.589022	30.492466147111784	24.307821448015105	30.492466147111784
48037011402	False	24.7	0.0	18.3	0.0	14.1	0.0	0.2	0.0	10.2	0.0	1.8	0.0	20.2	0.0	5.6	0.0	3.9	0.0	3.1	0.0	0.0253	0.0	18.155725	18.155725	20.520527	14.3450206874092	14.3450206874092	16.70982209426955
48363000100	False	13.2	0.0	30.0	0.0	17.6	0.0	2.2	0.0	12.3	0.0	1.1	0.0	23.4	0.0	2.8	0.0	1.5	0.0	3.6	0.0	0.0384	0.0	16.282362	16.282362	17.73473	11.26468837381071	11.26468837381071	12.717056156403483
